Mã sinh viên,Ngày,Tên,Danh Mục,Số Tiền,Ghi Chú,Tháng
B24DCCC040,2024-01-27,Trương Công Chiến,Ăn uống,284321,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-29,Trương Công Chiến,Di chuyển,277091,Khoản chi đột xuất,
B24DCCC040,2024-12-29,Trương Công Chiến,Học tập,488006,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-08,Trương Công Chiến,Di chuyển,470459,Thanh toán dịch vụ,
B24DCCC040,2024-10-24,Trương Công Chiến,Khác,31903,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-02,Trương Công Chiến,Giải trí,465209,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-29,Trương Công Chiến,Giải trí,312800,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-11,Trương Công Chiến,Học tập,304666,Thanh toán dịch vụ,
B24DCCC040,2024-07-20,Trương Công Chiến,Giải trí,375932,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-10,Trương Công Chiến,Khác,111973,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-08,Trương Công Chiến,Học tập,483616,Khoản chi đột xuất,
B24DCCC040,2024-08-17,Trương Công Chiến,Giải trí,272044,Chi phí cần thiết trong tháng,
B24DCCC040,2024-10-16,Trương Công Chiến,Ăn uống,495247,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-22,Trương Công Chiến,Học tập,184514,Chi phí cần thiết trong tháng,
B24DCCC040,2024-09-29,Trương Công Chiến,Mua sắm,296374,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-07-22,Trương Công Chiến,Giải trí,121243,Thanh toán dịch vụ,
B24DCCC040,2024-09-11,Trương Công Chiến,Giải trí,250460,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-14,Trương Công Chiến,Mua sắm,458089,Chi phí cần thiết trong tháng,
B24DCCC040,2024-11-26,Trương Công Chiến,Ăn uống,205971,Thanh toán dịch vụ,
B24DCCC040,2024-09-05,Trương Công Chiến,Ăn uống,425769,Khoản chi đột xuất,
B24DCCC040,2024-06-09,Trương Công Chiến,Di chuyển,138158,Thanh toán dịch vụ,
B24DCCC040,2024-04-20,Trương Công Chiến,Khác,142844,Khoản chi đột xuất,
B24DCCC040,2024-09-30,Trương Công Chiến,Giải trí,226575,Khoản chi đột xuất,
B24DCCC040,2024-09-06,Trương Công Chiến,Di chuyển,328103,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-09-25,Trương Công Chiến,Mua sắm,432607,Thanh toán dịch vụ,
B24DCCC040,2024-06-21,Trương Công Chiến,Học tập,196358,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-17,Trương Công Chiến,Y tế,199259,Chi phí cần thiết trong tháng,
B24DCCC040,2024-09-28,Trương Công Chiến,Giải trí,380238,Chi phí cần thiết trong tháng,
B24DCCC040,2024-03-01,Trương Công Chiến,Học tập,374680,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-12-17,Trương Công Chiến,Giải trí,432529,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-31,Trương Công Chiến,Giải trí,156249,Khoản chi đột xuất,
